states	PB2	PA	HA	NP	NA	MP	NS
27500000	2	6	3	5	2	2	7
27520000	2	5	4	5	2	2	4
27540000	2	5	3	6	2	2	4
27560000	3	5	4	5	2	2	5
27580000	2	6	4	5	2	2	3
27600000	2	5	3	5	2	2	3
27620000	2	5	3	6	3	2	3
27640000	2	5	3	5	2	2	4
27660000	2	5	3	5	2	2	8
27680000	2	5	3	6	2	2	6
27700000	2	6	3	5	2	2	5
27720000	2	6	3	6	2	2	4
27740000	2	6	3	5	2	2	4
27760000	2	6	3	5	2	2	5
27780000	2	5	4	5	2	2	4
27800000	3	4	4	5	3	2	5
27820000	2	5	3	5	2	2	4
27840000	2	6	4	5	2	2	4
27860000	2	6	3	5	2	2	3
27880000	2	5	3	5	2	2	4
27900000	2	5	3	6	2	2	5
27920000	2	6	3	6	2	2	4
27940000	2	4	3	5	2	4	4
27960000	2	5	3	5	2	2	4
27980000	2	5	3	5	2	3	4
28000000	3	5	3	5	3	2	4
28020000	3	5	3	5	2	2	5
28040000	2	5	3	5	2	2	5
28060000	2	6	3	5	2	2	4
28080000	2	5	3	5	3	2	7
28100000	2	4	3	5	2	2	4
28120000	2	6	3	5	2	2	4
28140000	2	5	3	5	2	2	3
28160000	2	5	3	5	2	2	4
28180000	2	5	3	5	2	2	5
28200000	2	5	4	6	2	2	4
28220000	2	6	3	5	2	2	5
28240000	3	5	3	5	2	2	5
28260000	2	6	4	6	2	2	6
28280000	2	5	4	6	2	2	4
28300000	2	6	3	6	2	2	4
28320000	2	11	3	5	2	2	4
28340000	2	5	4	5	2	2	4
28360000	2	4	4	5	2	2	4
28380000	2	6	3	6	2	2	5
28400000	2	5	3	5	2	2	5
28420000	2	5	3	5	2	2	4
28440000	2	4	3	5	2	2	5
28460000	2	5	4	5	3	2	5
28480000	3	5	3	6	2	2	4
28500000	2	5	4	5	2	2	5
28520000	2	5	3	7	2	3	3
28540000	2	6	3	5	2	2	5
28560000	2	6	3	7	2	2	4
28580000	3	5	5	5	2	2	4
28600000	2	5	3	6	2	2	5
28620000	2	8	5	7	2	2	4
28640000	2	5	3	5	2	2	4
28660000	2	5	3	5	2	2	5
28680000	2	5	3	5	2	2	4
28700000	2	5	3	5	2	2	4
28720000	2	5	4	5	2	2	5
28740000	3	4	3	5	2	4	4
28760000	2	5	3	5	2	2	5
28780000	2	7	3	8	2	2	5
28800000	2	7	3	5	2	2	4
28820000	3	5	4	5	2	2	4
28840000	2	5	3	5	2	4	4
28860000	2	5	4	5	2	2	4
28880000	2	5	3	6	2	2	5
28900000	2	5	3	5	3	2	4
28920000	2	6	3	5	2	2	4
28940000	2	6	3	5	2	2	5
28960000	2	5	4	9	2	2	4
28980000	2	10	3	7	2	2	5
29000000	2	4	3	5	2	2	4
29020000	2	5	3	5	2	2	5
29040000	2	5	3	5	2	2	4
29060000	2	7	3	5	2	2	5
29080000	2	5	4	5	2	2	4
29100000	2	5	4	5	2	2	5
29120000	2	5	3	5	3	2	4
29140000	2	5	3	5	2	2	10
29160000	2	5	3	5	2	2	5
29180000	2	5	4	7	2	2	4
