states	PB1	PB2	PA	HA	NP	NA	MP
31900000	5	3	4	6	4	2	1
31920000	5	3	4	6	4	2	1
31940000	7	3	5	6	4	2	1
31960000	8	3	6	6	5	2	1
31980000	5	3	4	6	4	2	1
32000000	6	3	4	6	4	2	1
32020000	5	3	4	8	7	2	1
32040000	5	3	4	7	4	3	1
32060000	5	3	4	8	4	2	1
32080000	5	3	7	6	4	3	1
32100000	7	3	4	7	4	2	1
32120000	5	3	6	6	4	2	1
32140000	5	3	4	7	5	2	2
32160000	5	3	4	8	5	2	2
32180000	6	3	4	8	4	2	1
32200000	6	3	4	8	4	2	1
32220000	6	3	5	7	4	2	1
32240000	6	3	9	7	4	2	1
32260000	6	3	4	7	4	2	1
32280000	6	3	4	6	4	2	1
32300000	7	3	5	6	4	3	1
32320000	8	3	4	6	4	2	1
32340000	6	3	6	6	6	2	1
32360000	6	3	6	7	4	2	1
32380000	6	3	7	7	4	2	1
32400000	8	3	8	6	4	2	1
32420000	6	3	4	6	4	2	1
32440000	5	3	4	6	5	2	1
32460000	6	3	4	7	4	2	1
32480000	6	3	7	6	5	2	1
32500000	6	3	5	7	5	2	1
32520000	7	3	5	8	4	2	1
32540000	7	3	4	7	4	2	1
32560000	6	3	4	7	4	2	1
32580000	6	3	4	7	4	2	1
32600000	5	3	4	6	4	2	2
32620000	5	3	6	7	4	2	1
32640000	5	3	4	7	4	2	2
32660000	5	3	4	7	4	2	2
32680000	5	3	5	7	4	2	1
32700000	7	3	5	6	4	2	1
32720000	5	3	6	8	4	2	1
32740000	5	3	6	6	5	2	2
32760000	5	3	7	7	5	2	2
32780000	5	3	3	8	4	2	2
32800000	5	3	4	7	4	2	2
32820000	5	3	6	6	5	2	2
32840000	5	3	7	6	5	2	1
32860000	6	3	6	7	5	2	1
32880000	6	3	5	6	5	2	2
32900000	6	3	6	6	5	2	2
32920000	5	3	8	5	7	2	2
32940000	5	3	6	5	6	2	2
32960000	5	3	5	6	6	2	2
32980000	5	3	5	5	5	2	2
33000000	8	3	6	5	5	2	2
33020000	5	3	5	5	5	2	2
33040000	6	3	4	6	5	2	2
33060000	5	3	5	6	6	2	2
33080000	5	3	5	6	5	2	2
33100000	5	3	5	5	5	2	2
33120000	5	3	6	6	5	2	2
33140000	5	3	5	7	5	2	2
33160000	5	3	5	7	6	2	2
33180000	5	3	6	6	5	2	2
33200000	5	3	5	5	5	2	2
33220000	6	3	6	7	6	2	2
33240000	5	3	6	6	5	2	2
33260000	5	3	7	6	5	2	2
33280000	6	3	5	7	4	2	1
33300000	6	3	8	7	4	2	1
33320000	6	3	4	7	4	2	1
33340000	5	3	4	7	4	3	1
33360000	6	3	6	6	6	3	1
33380000	6	3	4	6	4	2	1
33400000	7	3	5	6	4	2	2
33420000	5	3	5	6	4	2	1
33440000	5	3	4	7	4	2	1
33460000	5	3	6	7	4	3	1
33480000	6	3	4	7	4	2	1
33500000	6	3	4	8	4	2	1
33520000	5	3	8	8	4	2	1
33540000	5	3	4	8	4	2	1
33560000	6	4	4	6	5	2	1
33580000	5	3	6	6	5	2	2
33600000	5	3	4	7	5	2	2
33620000	6	3	4	7	6	2	4
33640000	5	3	9	7	8	2	2
33660000	5	3	5	7	7	2	3
33680000	7	3	5	6	5	2	2
33700000	6	3	4	6	5	2	2
33720000	6	3	5	8	5	2	2
33740000	5	3	7	8	5	2	2
33760000	5	3	4	7	5	2	2
33780000	6	3	4	6	6	2	2
33800000	5	3	6	6	5	2	2
33820000	5	3	6	7	5	2	1
33840000	8	3	6	6	5	2	1
33860000	6	3	6	6	4	2	1
33880000	9	3	6	6	4	2	1
33900000	6	3	4	6	4	2	1
33920000	5	3	6	7	4	2	1
33940000	5	3	7	9	4	2	1
33960000	5	3	4	7	3	2	1
33980000	5	3	5	8	5	2	2
34000000	8	3	5	7	5	2	4
34020000	5	3	7	7	5	2	2
34040000	7	3	4	6	5	2	2
34060000	5	3	4	6	4	2	4
34080000	6	3	6	7	4	2	1
34100000	6	3	5	6	6	3	2
34120000	5	4	3	7	4	2	2
34140000	6	3	6	6	5	2	1
34160000	5	3	6	7	5	2	1
34180000	5	3	5	6	4	2	1
34200000	6	3	7	6	6	2	2
34220000	5	3	6	7	5	2	2
34240000	5	3	6	7	4	2	1
34260000	5	3	7	6	7	2	1
34280000	5	3	5	6	4	2	1
34300000	5	3	6	6	8	2	1
34320000	6	3	6	7	5	2	1
34340000	5	3	4	7	4	2	1
34360000	6	3	4	7	4	2	1
34380000	5	3	5	7	5	2	2
34400000	6	3	5	6	5	2	2
34420000	5	3	5	5	6	2	4
34440000	5	3	4	6	4	2	2
34460000	6	3	5	6	9	2	2
34480000	6	3	4	6	10	2	3
34500000	5	3	5	7	5	2	2
34520000	5	3	5	6	5	2	2
34540000	5	3	7	6	5	2	2
34560000	5	3	6	6	5	2	2
34580000	5	3	5	5	6	2	2
34600000	5	3	4	6	4	2	2
34620000	5	3	5	8	6	2	2
34640000	5	4	4	6	7	2	2
34660000	5	3	5	6	6	2	2
34680000	5	3	5	7	6	2	2
34700000	5	3	6	7	5	2	2
34720000	5	3	5	6	5	2	2
34740000	5	3	6	6	6	2	2
34760000	5	3	5	6	7	2	2
34780000	5	3	5	6	5	2	3
34800000	5	3	5	5	6	2	2
34820000	6	3	4	7	5	2	2
34840000	5	3	6	6	5	2	2
34860000	5	3	5	9	5	2	4
34880000	5	3	4	6	5	2	2
34900000	7	3	4	7	5	2	2
34920000	5	3	4	6	5	2	2
34940000	6	3	9	7	4	2	1
34960000	5	3	6	7	4	2	1
34980000	5	3	4	7	4	2	1
35000000	5	3	4	7	4	2	1
35020000	5	3	3	6	3	2	1
35040000	7	3	3	7	3	2	1
35060000	5	3	4	6	4	2	1
35080000	5	3	4	6	5	2	2
35100000	7	3	5	6	5	2	2
35120000	6	3	5	6	5	2	2
35140000	6	3	5	6	5	3	2
35160000	5	3	4	6	5	2	2
35180000	6	3	5	6	4	2	2
35200000	5	3	6	6	4	2	3
35220000	6	3	4	7	4	2	1
35240000	5	3	4	8	4	2	1
35260000	5	3	4	8	4	2	1
35280000	5	3	5	6	7	2	2
35300000	6	3	6	6	5	2	2
35320000	6	3	5	6	6	2	2
35340000	6	3	4	6	5	2	2
35360000	5	3	5	6	5	3	2
35380000	6	3	6	8	5	2	1
35400000	7	3	5	6	5	2	2
35420000	5	3	4	8	5	2	2
