states	PB1	PB2	PA	HA	NP	NA	NS
27960000	4	3	5	5	4	2	10
27980000	4	4	4	5	3	3	10
28000000	4	4	2	5	5	2	8
28020000	4	5	3	6	4	3	9
28040000	4	6	3	6	3	3	9
28060000	4	4	3	5	4	3	9
28080000	5	4	3	5	5	2	10
28100000	4	4	3	5	5	3	10
28120000	4	4	2	5	3	4	8
28140000	4	4	2	4	3	3	9
28160000	4	4	2	5	4	3	8
28180000	4	4	2	4	4	2	8
28200000	4	4	4	5	3	4	9
28220000	5	3	3	6	3	3	9
28240000	5	4	3	5	3	3	9
28260000	5	4	2	5	3	3	9
28280000	4	4	3	5	3	2	9
28300000	6	4	2	5	3	3	8
28320000	4	4	3	5	6	3	8
28340000	4	4	2	4	4	3	8
28360000	4	4	2	4	3	2	9
28380000	5	4	3	5	3	3	9
28400000	4	4	3	5	4	3	9
28420000	5	4	2	5	5	3	9
28440000	4	4	4	5	3	3	9
28460000	5	4	2	5	4	3	8
28480000	4	3	2	5	4	2	8
28500000	4	4	2	5	4	2	9
28520000	4	4	2	4	4	2	9
28540000	5	4	3	5	3	2	9
28560000	4	4	2	5	3	2	9
28580000	4	5	3	5	3	2	8
28600000	4	4	3	5	3	3	9
28620000	4	3	2	6	4	2	9
28640000	4	4	3	5	6	2	9
28660000	4	4	2	5	4	3	9
28680000	7	4	3	5	3	3	9
28700000	5	4	2	5	4	3	9
28720000	5	4	2	5	3	2	10
28740000	5	4	4	5	3	2	9
28760000	4	4	3	5	3	2	9
28780000	4	3	3	5	4	2	8
28800000	4	4	3	5	3	3	9
28820000	4	4	3	5	3	2	9
28840000	5	4	4	5	3	2	13
28860000	4	3	3	6	4	3	10
28880000	5	4	5	5	3	2	9
28900000	4	3	4	5	4	2	9
28920000	4	4	3	5	3	3	10
28940000	4	4	4	5	3	3	8
28960000	5	4	4	6	3	3	10
28980000	5	3	5	5	5	2	10
29000000	5	4	5	5	3	3	10
29020000	4	4	4	5	4	4	9
29040000	5	4	4	5	3	3	11
29060000	4	4	7	5	3	2	12
29080000	4	4	8	5	3	3	11
29100000	4	4	4	5	3	2	10
29120000	4	4	3	5	3	3	10
29140000	4	4	6	5	4	3	8
29160000	4	4	11	5	3	3	8
29180000	4	4	4	5	3	3	9
29200000	4	4	5	5	3	3	11
29220000	4	5	4	5	3	2	9
29240000	5	4	3	5	3	3	8
29260000	4	4	3	6	6	2	9
29280000	5	5	3	4	3	2	9
29300000	4	4	3	4	4	2	10
29320000	4	4	2	5	4	3	8
29340000	4	5	3	5	3	2	8
29360000	4	4	6	5	8	4	12
29380000	4	3	3	5	3	2	10
29400000	6	5	4	5	4	3	9
29420000	5	4	3	5	3	3	10
29440000	4	4	2	5	4	3	9
29460000	4	4	2	5	5	2	8
29480000	4	4	3	5	4	2	10
