states	PB1	PB2	PA	HA	NP	MP	NS
29120000	4	2	4	5	7	3	7
29140000	4	2	4	4	8	3	6
29160000	5	2	5	5	7	3	5
29180000	4	2	5	6	6	3	6
29200000	4	2	5	5	7	3	5
29220000	4	2	6	6	6	3	5
29240000	4	2	5	6	10	3	5
29260000	4	2	5	5	6	3	5
29280000	4	2	5	5	7	3	7
29300000	4	2	4	4	5	3	7
29320000	5	2	5	4	7	3	6
29340000	4	2	4	4	5	3	6
29360000	4	2	5	4	5	4	6
29380000	4	2	3	4	6	3	6
29400000	4	2	4	4	7	3	6
29420000	4	2	5	6	7	3	5
29440000	4	2	4	6	7	3	7
29460000	4	2	5	5	7	3	7
29480000	4	2	5	7	7	3	5
29500000	4	2	6	6	7	3	5
29520000	4	2	7	5	6	3	6
29540000	4	4	5	4	7	3	6
29560000	4	2	6	5	7	4	6
29580000	4	2	6	6	7	3	6
29600000	4	2	7	6	5	3	5
29620000	4	2	5	5	7	3	6
29640000	4	2	5	5	7	3	5
29660000	4	2	4	6	8	3	5
29680000	4	2	5	6	7	3	8
29700000	4	2	5	5	6	3	6
29720000	4	2	4	4	5	3	6
29740000	4	2	5	5	5	3	5
29760000	4	2	5	5	5	5	6
29780000	4	2	6	4	7	3	6
29800000	4	2	5	5	7	4	5
29820000	4	2	5	5	8	3	6
29840000	4	2	5	6	6	3	5
29860000	4	2	5	6	6	3	5
29880000	4	2	5	5	6	3	5
29900000	4	2	5	5	6	3	5
29920000	4	3	5	5	7	3	6
29940000	4	2	5	6	5	3	5
29960000	4	2	5	5	7	3	5
29980000	4	2	4	5	8	3	5
30000000	4	2	4	5	5	6	6
30020000	4	2	5	6	5	3	5
30040000	4	2	4	8	5	3	5
30060000	4	2	5	5	6	3	5
30080000	4	2	4	5	7	3	5
30100000	4	2	5	6	6	3	5
30120000	4	2	5	5	5	3	5
30140000	4	3	5	5	5	3	5
30160000	4	2	4	5	5	3	5
30180000	4	2	7	5	5	5	5
